Weekday,Date,Time,Day,Month,Year
Sunday, 31 December 1933, 09:53:54 pm,31,12,1933
Tuesday, 30 January 1934, 05:31:24 pm,30,1,1934
Thursday, 1 March 1934, 11:25:36 am,1,3,1934
Saturday, 31 March 1934, 02:14:30 am,31,3,1934
Sunday, 29 April 1934, 01:45:24 pm,29,5,1934
Monday, 28 May 1934, 10:41:18 pm,28,5,1934
Wednesday, 27 June 1934, 06:07:48 am,27,6,1934
Thursday, 26 July 1934, 01:08:30 pm,26,7,1934
Friday, 24 August 1934, 08:36:42 pm,24,8,1934
Sunday, 23 September 1934, 05:18:48 am,23,9,1934
Monday, 22 October 1934, 04:01:00 pm,22,10,1934
Wednesday, 21 November 1934, 05:26:12 am,21,11,1934
Thursday, 20 December 1934, 09:53:12 pm,20,12,1934
Saturday, 19 January 1935, 04:44:12 pm,19,1,1935
Monday, 18 February 1935, 12:17:06 pm,18,2,1935
Wednesday, 20 March 1935, 06:31:18 am,20,3,1935
Thursday, 18 April 1935, 10:09:36 pm,18,5,1935
Saturday, 18 May 1935, 10:57:00 am,18,5,1935
Sunday, 16 June 1935, 09:20:00 pm,16,6,1935
Tuesday, 16 July 1935, 06:00:24 am,16,7,1935
Wednesday, 14 August 1935, 01:43:30 pm,14,8,1935
Thursday, 12 September 1935, 09:18:12 pm,12,9,1935
Saturday, 12 October 1935, 05:39:00 am,12,10,1935
Sunday, 10 November 1935, 03:41:42 pm,10,11,1935
Tuesday, 10 December 1935, 04:10:12 am,10,12,1935
Wednesday, 8 January 1936, 07:14:36 pm,8,1,1936
Friday, 7 February 1936, 12:18:48 pm,7,2,1936
Sunday, 8 March 1936, 06:13:30 am,8,3,1936
Monday, 6 April 1936, 11:46:18 pm,6,5,1936
Wednesday, 6 May 1936, 04:01:06 pm,6,5,1936
Friday, 5 June 1936, 06:22:18 am,5,6,1936
Saturday, 4 July 1936, 06:34:24 pm,4,7,1936
Monday, 3 August 1936, 04:47:12 am,3,8,1936
Tuesday, 1 September 1936, 01:37:18 pm,1,9,1936
Wednesday, 30 September 1936, 10:00:48 pm,30,9,1936
Friday, 30 October 1936, 06:57:30 am,30,10,1936
Saturday, 28 November 1936, 05:11:48 pm,28,11,1936
Monday, 28 December 1936, 05:00:06 am,28,12,1936
Tuesday, 26 January 1937, 06:15:18 pm,26,1,1937
Thursday, 25 February 1937, 08:43:12 am,25,2,1937
Saturday, 27 March 1937, 12:12:12 am,27,3,1937
Sunday, 25 April 1937, 04:23:30 pm,25,5,1937
Tuesday, 25 May 1937, 08:37:36 am,25,5,1937
Wednesday, 23 June 1937, 11:59:30 pm,23,6,1937
Friday, 23 July 1937, 01:45:30 pm,23,7,1937
Sunday, 22 August 1937, 01:47:00 am,22,8,1937
Monday, 20 September 1937, 12:32:24 pm,20,9,1937
Tuesday, 19 October 1937, 10:47:24 pm,19,10,1937
Thursday, 18 November 1937, 09:09:30 am,18,11,1937
Friday, 17 December 1937, 07:52:24 pm,17,12,1937
